group,run_dir,total_questions,target_hit_rate,avg_unique_source_count,avg_total_seconds,avg_first_token_seconds,avg_rewrite_seconds,avg_retrieve_seconds,avg_generate_answer_seconds,refusal_success_rate,avg_correctness,avg_completeness,avg_faithfulness,avg_retrieval_relevance
主测试集-无改写,20260430_172612_without_rewrite,66,0.9393939393939394,1.9242424242424243,6.763551161560441,4.866376130636347,0.0,2.929084291030063,3.784797085182259,0.6666666666666666,1.8636363636363635,1.7121212121212122,1.878787878787879,1.893939393939394
主测试集-启用改写,20260430_230707_with_rewrite,66,0.9696969696969697,2.5606060606060606,10.04945623619664,7.28716700819683,1.612176248681587,3.685881930621029,4.696419866802458,0.5833333333333334,1.893939393939394,1.7272727272727273,1.893939393939394,1.9545454545454546
口语化子集-无改写,20260501_000136_conversational_without_rewrite,15,0.8,2.2666666666666666,9.115618752866189,5.086722858200664,0.0,2.91762465286641,6.148342086266591,0.5,1.7333333333333334,1.8666666666666667,1.8,1.6666666666666667
口语化子集-启用改写,20260501_002532_conversational_with_rewrite,15,0.8666666666666667,3.4,9.15967104746572,6.165441225134418,1.3230641138002588,2.9908376388659237,4.796637552667137,0.5,1.8666666666666667,1.9333333333333333,1.8666666666666667,1.8
